Full name,Make,Model,Year,Category,Rating,Price as new (MSRP),Displacement,Engine type,Engine details,Power,Torque,Top speed,1/4 mile (0.4 km),0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Max RPM,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel (mm),Rear suspension,Rear wheel travel (mm),Front tyre,Rear tyre,Front brakes,Front brakes diameter,Rear brakes,Rear brakes diameter,Wheels,Seat,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Instruments,Electrical,Light,Carrying capacity,Factory warranty,Comments,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Profilation
BMW K 1,BMW,K 1,1993,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6750 RPM,,,,,,,,4,,,,,,5-speed,,,,,,,,,,,,,,,,,Dual disc,,Single disc,,,,239.0 kg (526.9 pounds),,0.4184 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1,BMW,K 1,1992,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,,235.0 km/h (146.0 mph),,,,,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264.0 kg (582.0 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1,BMW,K 1,1991,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,,235.0 km/h (146.0 mph),,,,,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264.0 kg (582.0 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1,BMW,K 1,1990,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,,235.0 km/h (146.0 mph),,,,,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264.0 kg (582.0 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1,BMW,K 1,1989,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,,235.0 km/h (146.0 mph),,,,,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264.0 kg (582.0 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,BMW,K 100,1989,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,BMW,K 100,1988,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,BMW,K 100,1987,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,BMW,K 100,1986,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,BMW,K 100,1985,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",,987.0 ccm (60.23 cubic inches),,"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,218.0 km/h (135.5 mph),,,,,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243.0 kg (535.7 pounds),,,,,,,,,,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,
